quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
180092901,ELK148,The Edinburgh Woollen Mill Limited Ladies,AW18N,Hand Flat,M,7,"7,897",95,2,59,27,14,5,352,305,Normal Wash Supersoft,15,190,119,225,313,-15,-48,123,1,N
180093001,ELK851,The Edinburgh Woollen Mill Limited Ladies,AW18N,Hand Flat,M,7,"18,398",95,1,52,28,0,5,319,289,Normal Wash Supersoft,15,157,108,189,284,7,20,127,2,Y
180093101,ELK852,The Edinburgh Woollen Mill Limited Ladies,AW18N,Automatic,M,7,"18,401",89,2,40,28,0,5,315,287,Normal Wash Supersoft,15,156,106,186,276,2,7,121,2,Y
180093301,ELK853,The Edinburgh Woollen Mill Limited Ladies,AW18N,Automatic,M,7,"7,899",89,2,37,36,6,5,363,301,Normal Wash Supersoft,15,189,122,222,302,-13,-39,113,1,N
180101001,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"95,900",95,1,83,28,0,5,267,,Normal Wash Std,39,98,61,98,250,4,9,152,1,Y
180101002,FMR CONVER,FMRC-BERNARD,AW18S,Automatic,S,12,"1,507",89,2,96,33,5,5,275,,Normal Wash Std,28,252,165,297,653,9,61,401,3,Y
180101003,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"3,012",95,2,91,42,5,5,270,276,Merino Anticockle,35,327,269,385,775,25,195,448,3,Y
180101004,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"31,200",95,1,84,31,4,5,235,,Normal Wash Std,28,93,58,93,254,3,9,161,1,Y
180072201,REF BOUILL,Monoprix Exploitation Gents,AW18N,Hand Flat,S,10,"1,695",95,2,53,27,0,5,360,360,Felted Finish,40,330,274,342,585,11,64,256,3,Y
180080101,T20.683,Woolworths (Pty) Ltd Mainstream Ladies,AW18S,Automatic,M,12,"1,000",89,5,71,23,0,5,316,259,Piece Dye Acrylic,70,128,62,128,281,-129,-363,153,2,N
180088801,CREW NECK PULLOVER,Lion Of Porches  Gents,AW18N,Automatic,M,12,"5,100",89,2,35,37,1,5,272,251,Machine Wash Supersoft,64,260,193,287,510,15,76,250,3,Y
180111501,CREW NECK PULLOVER,Lion Of Porches  Gents,AW18N,Automatic,M,12,"5,300",89,2,35,37,1,5,272,251,Machine Wash Supersoft,64,219,155,242,436,10,43,217,3,Y
180111701,18IP232-P210052121,Lion Of Porches  Gents,AW18N,Automatic,M,12,"6,300",89,2,35,37,1,5,271,250,Machine Wash Supersoft,64,219,154,242,436,10,44,218,3,Y
180111901,18IP225-P209052093,Lion Of Porches  Gents,AW18N,Automatic,M,12,"6,400",89,2,39,47,13,5,336,310,Machine Wash Supersoft,64,286,199,316,565,8,48,279,3,Y
180112001,18IM253-M210052043,Decenio-Mediterrano Gents,AW18N,Automatic,M,12,"2,750",89,3,35,37,1,5,268,250,Machine Wash Supersoft,64,217,153,240,436,-6,-27,219,3,N
180112101,18IM254-M209052036,Decenio-Mediterrano Gents,AW18N,Automatic,M,12,"2,150",89,3,39,46,13,5,332,310,Machine Wash Supersoft,64,283,197,313,565,-7,-42,282,3,N
180101044,FMR CONVER,Devred SAS Gents,AW18S,Hand Flat,S,12,"3,950",95,1,75,26,8,5,275,,Normal Wash Soft,15,112,72,112,209,-14,-29,97,1,N
180101045,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"3,450",95,1,75,26,8,5,275,,Normal Wash Soft,15,118,78,118,228,-7,-17,109,1,N
180046703,Vee-Retail Special,Hackett London Menswear Company Gents,AW18N,Hand Flat,C,7,703,95,4,56,32,21,5,357,310,Normal Wash Supersoft,28,474,359,474,658,-34,-224,185,2,N
180107102,T51.495,Woolworths Classic Collection Knitwear Gents,AW18S,Hand Flat,S,12,"6,000",95,1,83,30,0,5,267,,Normal Wash Soft,45,97,52,97,267,10,26,170,1,Y
180076701,6ZKM1V ZMK,Armani Junior,AW18N,Automatic,M,12,284,89,5,49,30,0,5,200,178,Normal Wash Soft,28,101,51,149,474,-14,-67,374,4,N
180035502,4520M,Marks & Spencer Plc T30 Gents,SS18N,Automatic,M,12,"4,500",89,2,104,30,0,5,339,302,Heavy Garment Wash,40,245,172,245,460,-21,-94,215,2,N
180073101,CARL,Gentleman Farmer Gents,AW18N,Hand Flat,S,7,"3,001",95,2,63,23,1,5,360,345,Felted Finish,40,262,191,283,417,0,0,156,2,Y
180114005,AW18 ORDERS,Mr Blue Gents,AW18N,Automatic,M,7,"1,000",89,2,50,27,2,5,273,258,Normal Wash Soft,28,215,161,236,413,3,12,199,2,Y
180013101,004-SWEATER W/STAND UP,Mr Blue Gents,AW18N,Automatic,M,12,"3,100",89,2,55,30,13,5,300,280,Normal Wash Std,28,256,134,282,505,5,24,250,2,Y
180114901,PV 54,Mr Blue Gents,AW18N,Automatic,M,5,400,89,5,59,29,0,5,403,377,Normal Wash Supersoft,28,283,224,315,604,-27,-163,321,3,N
180115001,PV55,Mr Blue Gents,AW18N,Automatic,M,5,400,89,5,84,40,4,5,487,456,Machine Wash Soft,64,333,244,367,636,-62,-393,302,2,N
180083201,JC-354 COLOURBLOCK,Marks & Spencer Plc T30 Gents,AW18N,Hand Flat,M,10,"2,706",95,2,60,22,0,5,323,298,Machine Wash TEC Supersoft,68,327,252,327,490,-8,-40,163,2,N
180072601,MULTI STRIPE (OPT 1),Marks & Spencer Plc T30 Gents,AW18N,Hand Flat,M,5,"19,662",95,1,48,30,0,5,518,480,Normal Wash Soft,28,311,240,311,508,16,82,197,2,Y
180083001,CREW NECK,Marks & Spencer Plc T30 Gents,AW18N,Automatic,M,5,"21,110",89,2,67,29,0,5,578,530,Normal Wash Soft,28,344,270,344,508,-4,-21,164,2,N
