TYPE,CUSTOMER_DEPARTMENT,MAIN_CUSTOMER,COMPLEXITY,PRODUCT,ROUNDS,MACHINE,PROD_STE,NECK,STITCH,YARN,ORDER
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,1,AUTO,AJX,Crew Neck,Tuck,COTTON,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,2,AUTO,AJX,Crew Neck,Tuck,COTTON,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,3,AUTO,AJX,Crew Neck,Tuck,COTTON,Y
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Cardigan,1,AUTO,FKL,High Crew Neck,Double bed,MERINO_BLENDS,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Cardigan,2,AUTO,FKL,High Crew Neck,Double bed,MERINO_BLENDS,Y
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,1,HF,US1,Crew Neck,Jersey,LAMBSWOOL,N
CNT,Thomas Dean - Gents,Thomas Dean,B,Pullover,1,HF,US1,V-Neck,Jersey,MERINO_BLENDS,N
CNT,Thomas Dean - Gents,Thomas Dean,B,Pullover,2,HF,FKL,V-Neck,Jersey,MERINO_BLENDS,Y
CNT,Thomas Dean - Gents,Thomas Dean,B,Pullover,1,HF,FKL,High Crew Neck,Jersey,MERINO_BLENDS,Y
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON_BLENDS,Y
APR,Cape Union Mart Old Khaki Ladies,Cape Union Mart,B,Pullover,2,AUTO,ANS,Crew Neck,Tuck,COTTON_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,High Crew Neck,Tuck,COTTON,N
CNT,Celio Paris Gents,Celio International SA,C1,Pullover,2,AUTO,FKL,High Crew Neck,Tuck,COTTON,N
APR,Celio Paris Gents,Celio International SA,C1,Pullover,3,AUTO,FKL,High Crew Neck,Tuck,COTTON,N
APR,Celio Paris Gents,Celio International SA,C1,Pullover,4,AUTO,FKL,High Crew Neck,Tuck,COTTON,Y
